"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CAPPM3528X210N";1;"TAJB226K020RNJ";;;
2;"C2, C3, C13";"C_0402_1005Metric";3;"100n";;;
3;"C4, C5";"C_0402_1005Metric";2;"47u";;;
4;"C6";"C_0402_1005Metric";1;"1N5";;;
5;"C7";"CAPPM7344X310N";1;"TAJD337K010RNJ";;;
6;"C8";"C_1206_3216Metric";1;"GRM31CR61A107MEA8L";;;
7;"C9, C11, C14";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";3;"100n";;;
8;"C10";"C_0402_1005Metric";1;"1u";;;
9;"C12";"C_1206_3216Metric";1;"22u";;;
10;"D1";"D_SOD-323";1;"1N5819WS";;;
11;"D3, D4, D5";"LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm";3;"SK6812";;;
12;"D10, D11";"LED_0402_1005Metric";2;"LED";;;
13;"IC1";"ESP32C6MINI1UN4";1;"ESP32-C6-MINI-1U-N4";;;
14;"IC2";"SOIC127P600X175-8N";1;"MC34063ADR";;;
15;"J1, J2";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"Conn_01x03";;;
16;"J3, J4";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";2;"Conn_01x02";;;
17;"J5";"USB_C_Receptacle_G-Switch_GT-USB-7010ASV";1;"USB_C_Receptacle_USB2.0_16P";;;
18;"L3";"L_APV_APH0630";1;"APH0630T220M";;;
19;"L4";"L_APV_APH0630";1;"APH0630T1R0M";;;
20;"L5";"L_APV_APH0630";1;"APH0630T470M";;;
21;"L6";"L_APV_APH1265";1;"APH1265T101M";;;
22;"Q1";"SOT-23";1;"BSS84";;;
23;"Q3";"SOT-23";1;"2N7002";;;
24;"R1";"R_0603_1608Metric";1;"CRCW0402180RJNED";;;
25;"R2";"R_2512_6332Metric";1;"JER2512F3R022";;;
26;"R3";"R_0402_1005Metric";1;"3k3";;;
27;"R4, R16, R21";"R_0402_1005Metric";3;"10k";;;
28;"R13, R15";"R_0402_1005Metric_Pad0.72x0.64mm_HandSolder";2;"10k";;;
29;"R17, R18";"R_0402_1005Metric";2;"1k";;;
30;"R19, R20";"R_0402_1005Metric";2;"5K1";;;
31;"R22, R23";"R_0402_1005Metric";2;"22";;;
32;"SW10, SW11";"SW_SPST_B3U-1000P";2;"SW_Push";;;
33;"U1";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
34;"U2";"SOT-23-6";1;"USBLC6-2SC6";;;
